ticker,fast,slow,sharpe,max_drawdown,annual_returns
SPY,5,40,1.0160630361233558,14.826668044649104,10.622105157668239
AAPL,5,80,0.9656222282539143,25.504013060777723,19.58495788018865
SPY,10,40,0.8754313706985635,15.005480900953893,10.791739677714657
QQQ,5,50,0.8663350425898785,18.38464515729923,14.272852141155445
AAPL,10,80,0.8345598952699351,19.9000086569856,21.702850675735004
AAPL,10,70,0.8210157344813502,21.947397526376186,18.52651674388623
SPY,10,90,0.8163210076341058,17.141513690749996,12.340526248859431
SPY,10,50,0.793230865884358,15.389562406014626,9.274376337839303
SPY,20,100,0.7896149549821725,19.200925673578425,12.495150179015688
AAPL,15,50,0.7730941658392358,26.20720343861558,17.434671759203265
AAPL,10,50,0.7541384812670728,26.250937615986327,17.410421994520874
SPY,10,100,0.75013289445684,21.103348647012936,12.187668564955924
SPY,30,100,0.7397137678672231,21.242103458117203,12.116712965059747
QQQ,5,40,0.7372109584012757,21.031488584615158,11.239833185990298
AAPL,10,60,0.737141355527575,22.652869875700702,18.68212667123079
SPY,30,90,0.7361254488005354,21.48159179641027,12.129794143314511
AAPL,20,60,0.7269946651654646,20.098456493505132,17.944935072461
AAPL,5,50,0.7267660299874878,24.38125298431443,16.17418009691273
SPY,25,100,0.72368799233365,21.64652677818669,11.942921159616223
AAPL,30,80,0.7215704762798832,27.921609352192323,16.125840449237288
SPY,15,90,0.7182581987044389,20.890757742365132,11.579851643170235
SPY,10,80,0.6961680584974549,20.57594483401114,10.993313732678768
AAPL,15,60,0.6942325369768167,28.856366011682237,17.658040521332776
SPY,25,70,0.6933159705944196,23.570861836190407,11.812390367896466
SPY,15,80,0.6916255955081039,21.404646743574105,11.458986479716934
AAPL,5,70,0.6767903558056304,27.246597580379856,15.838345703354161
AAPL,15,70,0.6742068384276713,23.790704313488817,17.511821315689915
SPY,25,90,0.6738891571407751,22.712366244628686,11.374736169714783
SPY,15,40,0.673681873094937,18.763858436240866,9.319407453208179
MSFT,30,80,0.6727590486436263,31.572020096638948,15.214666751399072
AAPL,20,40,0.672128013395938,24.891737052857252,19.793563463162307
QQQ,5,60,0.6667467443788944,21.346705634276915,10.282672109899615
SPY,30,80,0.6621874710071255,25.343299324242086,11.704087444519551
AAPL,30,40,0.6608849821656066,23.394947081323444,18.316500476777115
QQQ,10,60,0.6576833067040129,15.149938206081583,10.875133261718172
MSFT,15,60,0.6541771431821504,24.69810641833294,13.774105401095763
AAPL,25,90,0.6510056729433353,33.124431066316724,17.164672381935
SPY,5,90,0.6504106926196308,21.998419610066655,10.422027381359547
QQQ,5,70,0.6461472987344937,19.36842521488257,12.116423176641348
AAPL,25,50,0.6425014124684856,26.78892794495371,17.162216719965127
QQQ,30,90,0.6402306972624179,32.38153084846353,13.069610442620046
AAPL,5,90,0.6385435179897714,16.629106467627953,9.632914737714612
AAPL,30,70,0.6383952290818476,30.742416925814947,16.064010928372827
SPY,5,80,0.6336133490122834,20.863573835478615,9.65731157995855
AAPL,15,40,0.6333621073873638,28.67799005329394,17.11905115913267
SPY,20,80,0.628179176754007,24.146782449956568,10.698125112160655
SPY,20,60,0.6240882019329488,22.19531423294699,9.96652995352094
SPY,20,90,0.6224838736138651,25.629765614423007,10.951289581334809
QQQ,30,70,0.6086237699180559,30.129739744965526,12.581058798401749
AAPL,25,60,0.6077547926086269,29.252312457305106,15.790432583558792
AAPL,20,50,0.6066999584111414,27.126485142192475,15.85878918197631
SPY,20,40,0.6066731368990771,24.090149585106406,9.236105175375107
SPY,15,100,0.6061079025988992,25.020157623995903,10.46261892926597
MSFT,25,70,0.6055078908558119,31.641982376686233,13.51730864316475
AAPL,5,60,0.6032891792397225,26.077181990691017,16.114534866848928
MSFT,30,60,0.6017846807709433,28.48418415770002,12.693741284621332
QQQ,20,80,0.601354253567722,29.45444159675774,12.251848091931386
MSFT,30,70,0.6012016594380853,35.27334328329799,13.646150090682275
SPY,30,40,0.6011031542219403,27.16565748777984,10.875648126886917
AAPL,25,80,0.6006673953999426,28.12305095099847,14.367524085787963
AAPL,20,80,0.5980943016281006,30.309534708217516,13.87763447997429
SPY,25,80,0.5943670469218603,26.68198968996355,10.42586266199774
AAPL,10,40,0.5921490395767092,31.276470245485356,12.37676016581967
SPY,25,60,0.5894601641912368,26.789181248523075,10.348378887309842
QQQ,15,80,0.5889600997840747,23.969934990902413,11.75773358391096
AAPL,20,70,0.5854454055693599,28.331376290192146,13.77489921922092
SPY,20,70,0.5841736338543867,26.501843045723337,10.241112702594311
QQQ,25,40,0.5764422299560013,26.845167873143268,11.273796864745227
QQQ,10,50,0.5764275404742598,21.37276659080734,10.134449112869582
AAPL,5,40,0.5751978037248149,24.845274206674553,13.404689868026143
AAPL,30,50,0.5742677005988,33.07881615893673,17.07169898363302
MSFT,5,60,0.5733095586256223,22.45103636297637,11.678967707257057
AAPL,20,90,0.5729427565418895,30.60919667865958,14.230845818566756
AAPL,25,40,0.571741321296976,27.847684187152215,15.769755931249
QQQ,10,40,0.5707799205695838,24.064508028696732,7.9336864305228305
SPY,10,70,0.5692861371748288,23.32769211734034,8.938716249660608
QQQ,10,90,0.5671152468084277,16.57066940756726,8.125970318038052
QQQ,30,80,0.564978357188019,30.815763533113305,11.33296574352021
MSFT,5,100,0.5631699348307074,19.46011184537751,12.634047482040295
SPY,5,70,0.5609846696606496,21.299563749113805,8.178816549981159
MSFT,25,80,0.5570566455211987,36.7464554019817,12.413322020632823
SPY,25,40,0.5559569590450825,26.38427688801587,8.444014659412218
SPY,15,70,0.5486605995422996,24.959459783698875,9.576969167000799
AAPL,25,70,0.5455377142440456,34.99124347702168,12.782750128825304
AAPL,5,100,0.5438685944878069,21.499619358761052,9.395142790158182
SPY,30,70,0.5431682478717924,30.65845572555395,9.966006446693509
MSFT,25,60,0.5385874614890319,31.529327877067363,11.784039131981656
AAPL,30,90,0.5361544232554692,33.55133685697584,13.038598925516359
