fast,slow,sharpe,max_drawdown,annual_returns
5,40,1.0160630361233558,14.826668044649104,10.622105157668239
10,40,0.8754313706985635,15.005480900953893,10.791739677714657
10,90,0.8163210076341058,17.141513690749996,12.340526248859431
10,50,0.793230865884358,15.389562406014626,9.274376337839303
20,100,0.7896149549821725,19.200925673578425,12.495150179015688
10,100,0.75013289445684,21.103348647012936,12.187668564955924
30,100,0.7397137678672231,21.242103458117203,12.116712965059747
30,90,0.7361254488005354,21.48159179641027,12.129794143314511
25,100,0.72368799233365,21.64652677818669,11.942921159616223
15,90,0.7182581987044389,20.890757742365132,11.579851643170235
